date,Open,High,Low,Close,Volume,RSI,MACD,ATR,BB_upper,BB_lower,Momentum
2024-07-27,67921.46,69418.15,66635.28,67899.41,10233.62198513,81.7264509271163,2570.600567760979,2584.025714285714,71674.10108087392,55145.197919126076,3813.600000000006
2024-07-28,67901.81,68308.82,67021.8,68244.3,3505.5483691,82.15051999189211,2584.2690382481014,2517.4221428571427,71882.4361563172,56091.34984368281,4261.440000000002
2024-07-29,68244.3,70000.0,66400.01,66771.45,13641.48475825,74.2283180490079,2448.03528676938,2469.062857142857,71889.34334849662,56956.801651503374,63.83999999999651
2024-07-30,66767.14,66994.15,65283.68,66169.68,8733.57157991,71.20687631274379,2265.3971591234294,2377.270714285714,71639.63377260437,58052.220227395635,-994.1500000000087
2024-07-31,66169.68,66837.4,64500.0,64609.62,8986.37529253,63.94052706440874,1972.038886362374,2381.0128571428563,71018.98577539963,59399.753224600376,-3571.659999999996
2024-08-01,64609.61,65593.56,62212.81,65288.18,15636.72205775,65.58553136760526,1773.8565485995787,2486.189285714285,70264.4533896431,60892.20061035692,-2270.040000000001
2024-08-02,65293.48,65557.86,61150.0,61418.06,15390.00963957,51.23068145345775,1289.6430754395697,2499.959999999999,69817.63996496073,61558.36203503927,-4521.180000000008
2024-08-03,61418.06,62171.58,59819.13,60674.93,8019.39450918,49.01237565593056,836.2957323604787,2570.563571428571,69844.46776202177,61518.18523797822,-4691.470000000001
2024-08-04,60674.93,61082.3,57123.0,58130.95,10319.01091658,42.26539057063187,268.6400563599309,2670.526428571428,70706.45940308555,59993.572596914426,-7664.470000000001
2024-08-05,58131.31,58282.83,49050.01,54029.12,59125.78926672,34.11167300050754,-506.377354254284,3192.472142857142,72170.70362908799,57423.34137091201,-13894.96
2024-08-06,54037.9,57091.16,53965.57,56048.08,16897.67519536,40.22432928972462,-946.7574069662296,3248.4042857142854,72743.73802718465,56046.53397281537,-11851.330000000002
2024-08-07,56048.07,57757.15,54564.15,55148.1,13971.5151871,38.50927956195069,-1352.788531946062,3330.7214285714285,73272.37743544554,54634.418564554464,-13096.200000000004
2024-08-08,55144.14,62755.24,54737.32,61705.58,20623.04985861,53.92442081056057,-1132.3838745149187,3707.035714285714,72979.43488638353,54427.15811361649,-5065.869999999995
2024-08-09,61704.05,61764.38,59552.46,60862.13,11569.80744379,52.11472561287319,-1014.0812639974683,3685.6685714285713,72597.28476964988,54179.138230350116,-5307.549999999996
2024-08-10,60864.71,61500.0,60255.61,60935.02,3157.63609699,52.26381986452331,-904.0229649994944,3575.777142857143,72008.36825178296,54043.42874821704,-3674.600000000006
2024-08-11,60935.01,61868.69,58312.63,58722.49,5229.37008498,47.43577980588494,-983.990816610778,3737.851428571429,71496.86458804892,53671.35941195109,-6565.690000000002
2024-08-12,58717.44,60721.77,57653.31,59358.78,12183.92944247,48.8978214554971,-984.6719446069619,3699.8849999999998,71132.11154170465,53378.06645829535,-2059.279999999999
2024-08-13,59358.78,61615.43,58402.01,60603.19,10879.76363828,51.725809668990614,-874.7150854061692,3807.2385714285715,70797.54554366294,53236.31145633705,-71.73999999999796
2024-08-14,60603.19,61827.2,58453.56,58690.62,12938.61473824,47.38548661904154,-931.167972523428,3881.255714285715,70373.2632623499,52950.113737650114,559.6700000000055
2024-08-15,58690.62,59883.49,56120.0,57543.61,14506.63316989,44.949503868609064,-1056.2852148799866,3908.5942857142863,69513.51801384198,52771.811986158005,3514.489999999998
2024-08-16,57543.57,59871.61,57096.56,58888.99,11930.21788221,48.30632875847924,-1034.9503453316502,3791.9650000000006,68481.5317934382,52902.756206561775,2840.909999999996
2024-08-17,58888.99,59711.02,58803.45,59497.49,2787.56355634,49.79738520887745,-957.8993752258975,3688.759285714286,67194.71058425978,53314.89641574022,4349.389999999999
2024-08-18,59497.49,60284.99,58422.0,58437.9,4325.64817169,47.24205269562182,-971.141271864115,3539.022857142857,66097.99026704169,53578.261732958315,-3267.6800000000003
2024-08-19,58436.2,59639.81,57820.0,59452.67,8539.29378706,49.89388504418153,-889.4985268158343,3009.5221428571426,65007.05078877373,53997.500211226274,-1409.4599999999991
2024-08-20,59455.81,61457.03,58571.96,59017.59,11062.05279919,48.76219472086081,-850.1039142929294,2992.3421428571423,64175.57914155036,54269.768858449635,-1917.4300000000003
2024-08-21,59017.59,61849.98,58793.89,61163.28,13380.11101719,54.27096721303602,-638.3852416405934,2982.562857142857,63187.71879122718,54845.13920877283,2440.790000000001
2024-08-22,61167.54,61430.48,59750.0,60383.29,9608.6955368,52.07900173621658,-527.4551677204945,2529.8885714285716,63035.001960134774,54894.379039865235,1024.510000000002
2024-08-23,60383.28,64987.0,60343.2,64086.72,17852.77117167,60.281697691456486,-139.10294265236735,2703.5942857142863,63756.13819252342,54514.421807476596,3483.529999999999
2024-08-24,64091.63,64529.78,63564.22,64179.63,5020.91676004,60.46453323673598,174.1584637987471,2683.6778571428576,64547.68425956287,54327.74374043713,5489.009999999995
2024-08-25,64179.63,65050.08,63793.74,64251.93,4012.30764642,60.61646381228915,423.3739991801194,2519.412142857143,64820.45913519158,55077.24986480841,6708.32
2024-08-26,64250.01,64509.36,62806.8,62840.0,10741.96651081,56.083782735328505,501.17096850535745,2421.8478571428573,64957.85139509283,55619.04960490715,3951.010000000002
