Price,Close,High,Low,Open,Volume,Ticker,RSI,MACD,ATR,BB_upper,BB_lower,Momentum
2019-01-30,39.36391830444336,39.578304302722984,38.16811172006146,38.887501744026494,244439200.0,AAPL,25.344804121561694,0.1798424325147181,0.9623608117134645,38.79713862445617,34.357818956110236,2.9013824462890625
2019-01-31,39.64738464355469,40.257197227088255,39.199551937310474,39.568775479069075,162958400.0,AAPL,26.41673147581473,0.3599459017219999,0.9849906222603124,39.25572304880517,34.10218787038428,2.7393875122070312
2019-02-01,39.66643905639648,40.25242931959905,39.52589342559066,39.77125126861664,130672400.0,AAPL,26.493134750982506,0.49847067090913555,0.9979219274777061,39.51922731415455,34.41824407561596,2.5392990112304616
2019-02-04,40.79316329956055,40.89082955557132,39.84747624498772,39.87844448098369,125982000.0,AAPL,31.052044996207528,0.6912020317393939,1.0331429436374044,40.19111311345607,34.29399888605565,3.4373397827148438
2019-02-05,41.491119384765625,41.70550903271067,41.05520140029468,41.17668632312443,144406400.0,AAPL,33.79136589332994,0.8900028479419717,1.0406309492796757,40.907316727966794,34.20309205499219,4.973789215087891
2019-02-06,41.50542449951172,41.82224204337491,41.174315036113065,41.60308716126109,112958400.0,AAPL,33.849375964410584,1.0367571393289623,1.0379085130494963,41.5258184428243,34.144142342087804,4.840404510498047
2019-02-07,40.71932601928711,41.43395089534404,40.57639959016769,41.06710809016357,126966800.0,AAPL,32.18076377866667,1.0772119659039348,1.0294018252262813,41.8951430605217,34.1947796537117,4.344913482666016
2019-02-08,40.76715850830078,40.826965969177806,40.291089805590886,40.42745256856221,95280000.0,AAPL,32.39913114151814,1.1004471201400676,1.033308432468043,42.224744644714995,34.27825027410825,3.1874122619628906
2019-02-11,40.5327262878418,40.95855893207921,40.48966665155167,40.920281266248566,83973600.0,AAPL,31.857718356156553,1.087409447095979,0.9953381047789419,42.44809190198253,34.48050154284169,3.300762176513672
2019-02-12,40.88199996948242,40.90831540610889,40.59731578698485,40.69300994306237,89134000.0,AAPL,33.63703870356156,1.0926649035359546,0.9636346768882105,42.62688317683959,34.81678557010866,4.035942077636719
2019-02-13,40.71214294433594,41.26237244865827,40.649944483984534,41.001612731729914,89960800.0,AAPL,33.18324479715872,1.0707805565352402,0.9607589228805214,42.783815574461414,35.08481388110499,1.3482246398925781
2019-02-14,40.860469818115234,40.97051353375331,40.52076378013357,40.599710089365466,87342800.0,AAPL,34.02033455298222,1.0532644164055611,0.9004929576549766,42.94911913674247,35.314757587500694,1.2130851745605469
