Price,Close,High,Low,Open,Volume,Ticker
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2020-01-02,153.04232788085938,153.14713892548826,150.8603710012965,151.28913816971797,22622100,MSFT
2020-01-03,151.13662719726562,152.40388225400224,150.60304918156822,150.85079221664952,21116200,MSFT
2020-01-06,151.52731323242188,151.59401776506908,149.12619721864283,149.6693128510685,20813700,MSFT
2020-01-07,150.14573669433594,152.1371317710887,149.89800813543405,151.8036526962878,21634100,MSFT
2020-01-08,152.53729248046875,153.21380259511494,150.4982536880769,151.43201531179338,27746500,MSFT
2020-01-09,154.4429473876953,154.56681892653168,153.4329581787887,154.20474183695646,21385000,MSFT
2020-01-10,153.72833251953125,155.51964293432806,153.57587747595,155.1385198642881,20725900,MSFT
2020-01-13,155.5767822265625,155.60536572477798,153.65207762622643,154.1284886483653,21626500,MSFT
2020-01-14,154.4810791015625,155.8817289998893,154.09041848199348,155.68162992630803,23477400,MSFT
2020-01-15,155.48150634765625,156.20566046275715,154.9002988126162,154.94792828742086,21417900,MSFT
2020-01-16,158.33045959472656,158.39716412587353,156.29142071509088,156.59633079076963,23865400,MSFT
2020-01-17,159.21661376953125,159.56915337167442,157.62538771805643,159.52150934840557,34371700,MSFT
2020-01-21,158.64486694335938,160.25513848961072,158.57816242302457,158.81636792894554,29517200,MSFT
2020-01-22,157.88262939453125,159.5881892069386,157.86356888038867,159.5024241627532,24138800,MSFT
2020-01-23,158.8545379638672,158.93076549395,157.472948511039,158.34954329861904,19680800,MSFT
2020-01-24,157.25375366210938,159.62628593530488,156.69159211003426,159.60722542232784,24918100,MSFT
2020-01-27,154.62403869628906,155.67214929276173,152.64216609317944,153.54734458708694,32078100,MSFT
2020-01-28,157.65394592285156,157.93978091240282,155.376701759657,156.05319728680965,24899900,MSFT
2020-01-29,160.1122283935547,160.78873852015346,157.87310505454732,159.92166687049843,34754500,MSFT
2020-01-30,164.62860107421875,165.83868921063896,162.73247986352183,165.83868921063896,51597500,MSFT
2020-01-31,162.1989288330078,164.26655138723655,161.5796001811614,164.08552737098836,36142700,MSFT
2020-02-03,166.15313720703125,166.26747121673395,162.36089444421407,162.38947794663974,30107000,MSFT
2020-02-04,171.622314453125,172.11778602310363,167.9920645264514,168.78290862542698,36433300,MSFT
2020-02-05,171.4127197265625,175.50985837548566,169.99302385604904,175.3478803350405,39186300,MSFT
2020-02-06,174.9667205810547,175.14775909976768,171.5651388277485,172.4322103968945,27751400,MSFT
2020-02-07,175.21444702148438,176.87236263033205,173.87096443529285,174.22351848191923,33529100,MSFT
2020-02-10,179.79754638671875,179.93094091327686,174.60466830003907,174.91910137097884,35844300,MSFT
2020-02-11,175.73851013183594,181.7031712330215,174.84285503323278,181.65552722032552,53159900,MSFT
2020-02-12,175.99581909179688,177.0820359671832,173.27074664457643,176.82476986701107,47062900,MSFT
2020-02-13,175.04295349121094,177.4440547028916,174.24257188173937,174.4426709188351,35295800,MSFT
2020-02-14,176.60562133789062,176.66278835038204,174.03298946445904,174.60468866720265,23149500,MSFT
2020-02-18,178.39691162109375,178.84473925632798,176.74853314567162,176.85334417815014,27792200,MSFT
2020-02-19,178.93197631835938,179.7918529075417,178.15808447236986,179.67720658328463,29997500,MSFT
2020-02-20,176.1994171142578,178.90327069854922,173.0274147687379,178.61664037983618,36862400,MSFT
2020-02-21,170.62930297851562,175.32044201019235,169.34903730957274,175.00515009256466,48572600,MSFT
2020-02-24,163.2725372314453,166.76939536429856,155.95398004505844,160.29161663484905,68311100,MSFT
2020-02-25,160.57823181152344,167.0464463520378,160.17694061961805,166.4349751443764,68073300,MSFT
2020-02-26,162.58460998535156,165.53686863762786,160.71198584638833,162.14512281296396,56206100,MSFT
2020-02-27,151.1290740966797,159.5845886377362,150.93799206981453,156.0399711167215,93174900,MSFT
2020-02-28,154.78836059570312,156.4125943556021,145.2245639669726,145.61629161864823,97012700,MSFT
2020-03-02,165.08782958984375,165.21203946757697,155.0749826890093,157.9412568253211,71030800,MSFT
2020-03-03,157.1768798828125,167.19928817667807,155.02717474911236,166.05278168776218,71677000,MSFT
2020-03-04,162.9477081298828,163.09101602333493,158.23745612386801,160.9795353071351,49814400,MSFT
2020-03-05,158.85845947265625,163.25340408325562,158.30431143028486,158.6482648849077,47817300,MSFT
2020-03-06,154.3679656982422,155.83931322558516,149.04624346895147,155.3616009067744,72821100,MSFT
2020-03-09,143.90603637695312,150.71821786212425,143.3136778403717,144.2691023593075,70419300,MSFT
2020-03-10,153.7469482421875,153.8520455473004,145.77870936639837,151.10998119384263,65354400,MSFT
2020-03-11,146.78192138671875,150.67049286628202,144.4124573102769,150.12590829373858,56371600,MSFT
2020-03-12,132.86134338378906,146.62901545574113,132.40274365490265,138.8231981738028,93226400,MSFT
2020-03-13,151.75010681152344,154.69281663620373,134.45691391450814,140.92514321386426,92727400,MSFT
2020-03-16,129.38360595703125,142.6926790773562,128.98232934849295,133.75945265769641,87905900,MSFT
2020-03-17,140.03660583496094,140.92514381176338,128.98233501415632,133.75945853319914,81059800,MSFT
2020-03-18,134.14163208007812,139.49201663164607,129.00145672314414,131.84861846004904,81593200,MSFT
2020-03-19,136.3486785888672,143.4570268009298,132.8040461931456,136.40600174385253,85922700,MSFT
2020-03-20,131.22760009765625,140.54299175470402,129.8040119191972,139.49201865938184,84866200,MSFT
2020-03-23,129.9186248779297,134.3040345966447,126.61286413328438,130.90271098792135,78975200,MSFT
2020-03-24,141.7277374267578,142.93158222671914,134.9728904280018,137.3423402862283,82516700,MSFT
2020-03-25,140.3710174560547,147.45071910570556,138.00156790595994,142.27231815915817,75638200,MSFT
2020-03-26,149.1513214111328,149.6768078093719,141.75633042707474,141.78499199619498,64568100,MSFT
2020-03-27,143.027099609375,147.98575699943868,142.54938717609144,144.98572350156294,57042300,MSFT
2020-03-30,153.08767700195312,153.4411940114723,143.32323658784367,145.6449259076902,63420300,MSFT
2020-03-31,150.68006896972656,157.43491550249698,149.58132157605732,152.29472482156936,77927200,MSFT
2020-04-01,145.32962036132812,150.71821392418917,144.09712917869655,146.17994757781898,57969900,MSFT
2020-04-02,148.33921813964844,148.54941271792683,143.65764343135137,145.09078033127363,49630700,MSFT
2020-04-03,146.97296142578125,150.3647215205411,145.40606573466746,148.1863546957883,41243300,MSFT
2020-04-06,157.90306091308594,159.07822933607605,150.55584186222103,153.17371106476554,67111700,MSFT
2020-04-07,156.202392578125,162.42220225132698,155.98263439611668,162.0304746176157,62769000,MSFT
2020-04-08,157.769287109375,159.24063474894433,156.2119401661067,158.28521003844824,48318200,MSFT
2020-04-09,157.77882385253906,159.90941670943448,156.0495075934475,158.9444430750935,51385100,MSFT
2020-04-13,158.13232421875,158.1896619422146,155.0654193407315,157.02404273502208,41905300,MSFT
2020-04-14,165.957275390625,166.00504954362867,160.51135725657332,161.46678200214816,52874300,MSFT
2020-04-15,164.21844482421875,165.83311531987113,161.69612354315677,163.56874827830927,40940800,MSFT
2020-04-16,169.1483917236328,169.37769891247757,165.19293383246543,166.5305372327894,50479600,MSFT
