date,Open,High,Low,Close,Volume
2024-07-08,55852.61,58200.0,54278.93,56699.43,19043.04861272
2024-07-09,56701.18,58295.31,56276.37,58047.86,11757.76025902
2024-07-10,58047.86,59481.93,57157.28,57712.59,11619.63229345
2024-07-11,57713.4,59533.06,57036.41,57340.77,11433.53379518
2024-07-12,57343.66,58550.0,56538.33,57909.03,10516.60400149
2024-07-13,57908.61,59875.0,57770.92,59224.58,4255.10545721
2024-07-14,59224.58,61428.67,59209.2,60808.42,6132.37403058
2024-07-15,60804.97,64943.61,60666.59,64757.16,20601.73387957
2024-07-16,64757.16,65405.89,62410.33,65088.99,14691.92002303
2024-07-17,65086.55,66139.0,63853.99,64085.81,10647.79709095
2024-07-18,64085.82,65130.88,63222.6,63982.86,7637.52760383
2024-07-19,63977.64,67504.22,63289.15,66707.61,15163.05745737
2024-07-20,66707.61,67635.0,66271.0,67163.83,4671.38885135
2024-07-21,67163.82,68380.0,65820.18,68181.28,6027.86201344
2024-07-22,68181.16,68495.0,66569.42,67558.22,11844.79119584
2024-07-23,67560.03,67786.84,65444.3,65939.24,10791.03782177
2024-07-24,65939.24,67131.17,65090.61,65366.4,7702.25551129
2024-07-25,65358.86,66161.98,63412.46,65795.42,10452.25571747
2024-07-26,65795.52,68216.66,65705.6,67924.08,9315.20918753
2024-07-27,67921.46,69418.15,66635.28,67899.41,10233.62198513
2024-07-28,67901.81,68308.82,67021.8,68244.3,3505.5483691
2024-07-29,68244.3,70000.0,66400.01,66771.45,13641.48475825
2024-07-30,66767.14,66994.15,65283.68,66169.68,8733.57157991
2024-07-31,66169.68,66837.4,64500.0,64609.62,8986.37529253
2024-08-01,64609.61,65593.56,62212.81,65288.18,15636.72205775
2024-08-02,65293.48,65557.86,61150.0,61418.06,15390.00963957
2024-08-03,61418.06,62171.58,59819.13,60674.93,8019.39450918
2024-08-04,60674.93,61082.3,57123.0,58130.95,10319.01091658
2024-08-05,58131.31,58282.83,49050.01,54029.12,59125.78926672
2024-08-06,54037.9,57091.16,53965.57,56048.08,16897.67519536
2024-08-07,56048.07,57757.15,54564.15,55148.1,13971.5151871
2024-08-08,55144.14,62755.24,54737.32,61705.58,20623.04985861
